category,level,region,year,quarter,registered_users
user,state,maharashtra,2020,3,31409513
user,state,uttar pradesh,2020,3,24838116
user,state,karnataka,2020,3,20487550
user,state,andhra pradesh,2020,3,15692405
user,state,rajasthan,2020,3,14969412
user,state,telangana,2020,3,14590882
user,state,west bengal,2020,3,14448366
user,state,tamil nadu,2020,3,13643451
user,state,madhya pradesh,2020,3,12564224
user,state,gujarat,2020,3,12467847
user,district,bengaluru urban,2020,3,8611452
user,district,pune,2020,3,5546002
user,district,jaipur,2020,3,3433167
user,district,thane,2020,3,3401853
user,district,mumbai suburban,2020,3,3304696
user,district,hyderabad,2020,3,2875965
user,district,ahmadabad,2020,3,2580178
user,district,rangareddy,2020,3,2495699
user,district,north twenty four parganas,2020,3,2143943
user,district,medchal malkajgiri,2020,3,2111567
user,pincode,201301,2020,3,472490
user,pincode,110059,2020,3,393571
user,pincode,560068,2020,3,373446
user,pincode,421302,2020,3,328833
user,pincode,500072,2020,3,328018
user,pincode,110092,2020,3,314384
user,pincode,122001,2020,3,314031
user,pincode,110086,2020,3,267186
user,pincode,560078,2020,3,265627
user,pincode,121004,2020,3,261230
user,state,maharashtra,2020,4,34432631
user,state,uttar pradesh,2020,4,27249134
user,state,karnataka,2020,4,22400182
user,state,andhra pradesh,2020,4,17076565
user,state,rajasthan,2020,4,16329494
user,state,telangana,2020,4,15927797
user,state,west bengal,2020,4,15662093
user,state,tamil nadu,2020,4,15357586
user,state,madhya pradesh,2020,4,13737947
user,state,gujarat,2020,4,13605203
user,district,bengaluru urban,2020,4,9286243
user,district,pune,2020,4,6033615
user,district,thane,2020,4,3727358
user,district,jaipur,2020,4,3679874
user,district,mumbai suburban,2020,4,3609970
user,district,hyderabad,2020,4,3142385
user,district,ahmadabad,2020,4,2787991
user,district,rangareddy,2020,4,2704868
user,district,north twenty four parganas,2020,4,2321888
user,district,medchal malkajgiri,2020,4,2282695
user,pincode,201301,2020,4,504506
user,pincode,110059,2020,4,423149
user,pincode,560068,2020,4,399638
