state,year,payment_category,type,count,amount,source_file
india,2024,Financial Services,TOTAL,8865844,14501331707.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\2.json
india,2024,Others,TOTAL,8700101,8229697142.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\2.json
india,2024,Merchant payments,TOTAL,15826083595,7132485242978.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\3.json
india,2024,Peer-to-peer payments,TOTAL,8566984108,23963938754607.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\3.json
india,2024,Recharge & bill payments,TOTAL,1409788062,1224783540794.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\3.json
india,2024,Financial Services,TOTAL,10798565,17450358563.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\3.json
india,2024,Others,TOTAL,7361054,8309733368.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\3.json
india,2024,Merchant payments,TOTAL,17419191808,8081429560226.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\4.json
india,2024,Peer-to-peer payments,TOTAL,9368204284,26633866936498.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\4.json
india,2024,Recharge & bill payments,TOTAL,1392529171,1255972669825.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\4.json
india,2024,Financial Services,TOTAL,32113340,18162331751.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\4.json
india,2024,Others,TOTAL,7217236,9369386297.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\4.json
andaman-&-nicobar-islands,2018,Recharge & bill payments,TOTAL,4200,1845307.4673655091,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\1.json
andaman-&-nicobar-islands,2018,Peer-to-peer payments,TOTAL,1871,12138655.299749982,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\1.json
andaman-&-nicobar-islands,2018,Merchant payments,TOTAL,298,452507.168646613,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\1.json
andaman-&-nicobar-islands,2018,Financial Services,TOTAL,33,10601.419933464953,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\1.json
andaman-&-nicobar-islands,2018,Others,TOTAL,256,184689.8662902223,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\1.json
andaman-&-nicobar-islands,2018,Recharge & bill payments,TOTAL,6735,2320944.731074479,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\2.json
andaman-&-nicobar-islands,2018,Peer-to-peer payments,TOTAL,3575,24511925.231047668,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\2.json
andaman-&-nicobar-islands,2018,Merchant payments,TOTAL,603,1024491.0133579008,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\2.json
andaman-&-nicobar-islands,2018,Financial Services,TOTAL,59,121336.0270987509,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\2.json
andaman-&-nicobar-islands,2018,Others,TOTAL,368,359838.50537474576,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\2.json
andaman-&-nicobar-islands,2018,Recharge & bill payments,TOTAL,8636,4343504.868377829,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\3.json
andaman-&-nicobar-islands,2018,Peer-to-peer payments,TOTAL,6448,49270781.541635044,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\3.json
andaman-&-nicobar-islands,2018,Merchant payments,TOTAL,945,1627359.8394868043,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\3.json
andaman-&-nicobar-islands,2018,Financial Services,TOTAL,42,1481.4907042806485,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\3.json
andaman-&-nicobar-islands,2018,Others,TOTAL,194,314343.39410715323,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\3.json
andaman-&-nicobar-islands,2018,Recharge & bill payments,TOTAL,11517,5450549.512294375,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\4.json
andaman-&-nicobar-islands,2018,Peer-to-peer payments,TOTAL,10451,81001456.97825177,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\4.json
andaman-&-nicobar-islands,2018,Merchant payments,TOTAL,1421,3552027.735492656,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\4.json
andaman-&-nicobar-islands,2018,Financial Services,TOTAL,29,76035.7877393286,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\4.json
andaman-&-nicobar-islands,2018,Others,TOTAL,340,468266.0606770435,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2018\4.json
andaman-&-nicobar-islands,2019,Recharge & bill payments,TOTAL,15263,6611459.8729725825,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\1.json
andaman-&-nicobar-islands,2019,Peer-to-peer payments,TOTAL,13119,91808345.86839552,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\1.json
andaman-&-nicobar-islands,2019,Merchant payments,TOTAL,1759,3266589.8469614363,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\1.json
andaman-&-nicobar-islands,2019,Financial Services,TOTAL,62,116250.43671861099,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\1.json
andaman-&-nicobar-islands,2019,Others,TOTAL,283,497094.6484417205,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\1.json
andaman-&-nicobar-islands,2019,Recharge & bill payments,TOTAL,14676,7242448.256212333,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\2.json
andaman-&-nicobar-islands,2019,Peer-to-peer payments,TOTAL,14481,107525358.66652842,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\state\andaman-&-nicobar-islands\2019\2.json
