level,region,year,quarter,count,amount,source,state
state,meghalaya,2018,4,161132,337585679.00467324,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,andaman & nicobar islands,2018,4,23758,90548336.07445517,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,haryana,2018,4,12950183,25390876016.455025,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,rajasthan,2018,4,20959723,37909087083.33885,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,ladakh,2018,4,35211,135522842.49263746,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,punjab,2018,4,4887137,10781982573.649624,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,assam,2018,4,3734172,5888022859.01307,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,jharkhand,2018,4,6284043,10241916641.12223,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,odisha,2018,4,21142798,23429869571.55922,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,bihar,2018,4,15732401,28397997168.57623,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,kerala,2018,4,4310654,7747361236.812299,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,karnataka,2018,4,44812071,73008386576.05942,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,chandigarh,2018,4,905116,2032591591.779975,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,telangana,2018,4,28921154,49509088448.04927,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,himachal pradesh,2018,4,1307883,2621298968.1392584,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,west bengal,2018,4,36513548,40489619211.70402,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,gujarat,2018,4,14733303,24830987102.78186,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,sikkim,2018,4,154533,383141358.07825375,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,nagaland,2018,4,139333,388013467.5456239,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,mizoram,2018,4,55242,190426852.52952954,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,chhattisgarh,2018,4,5365844,9416412664.971258,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,jammu & kashmir,2018,4,2721310,5664720265.697432,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,goa,2018,4,514755,1153005078.9224057,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,arunachal pradesh,2018,4,176429,504040029.0917605,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,delhi,2018,4,29187719,39722857618.706436,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,uttarakhand,2018,4,3178761,5654272137.963844,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,puducherry,2019,1,501092,906473024.3065231,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,tamil nadu,2019,1,32275045,56204036816.128555,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,uttar pradesh,2019,1,57324504,76524180134.0167,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,madhya pradesh,2019,1,37301049,48070279522.04201,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,andhra pradesh,2019,1,57264522,83760595917.0792,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,tripura,2019,1,580926,756894941.6158216,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,lakshadweep,2019,1,2481,8786130.479338994,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,manipur,2019,1,265409,659898060.4240801,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,maharashtra,2019,1,75079069,111420690920.33997,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,dadra & nagar haveli & daman & diu,2019,1,661814,843369776.0499002,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,meghalaya,2019,1,208741,399037162.15343595,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,andaman & nicobar islands,2019,1,30486,102299740.67348987,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,haryana,2019,1,22135775,34051655721.631077,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,rajasthan,2019,1,43956040,61141158575.55252,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,ladakh,2019,1,46145,152859920.9491272,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
